area,perimeter,height,width,r_value,g_value,b_value,index,label
214.0,314.0605458,132.0,190.0,220,153,51,13.0,1.0
243.0,539.3641465,132.0,203.0,219,125,49,13.0,1.0
242.5,46.15878744,132.0,314.0,225,136,77,12.0,1.0
210.0,336.8487719,132.0,314.0,223,147,26,10.0,1.0
189.0,196.7718174,132.0,331.0,227,152,41,12.0,1.0
216.5,163.0233755,229.0,331.0,219,157,111,12.0,1.0
202.5,10.82842708,265.0,331.0,219,166,118,12.0,1.0
233.5,208.474341,265.0,331.0,222,160,63,13.0,1.0
224.5,260.8111821,265.0,331.0,223,162,65,12.0,1.0
233.5,56.67939372,265.0,331.0,221,100,68,11.0,1.0
197.5,3.6,265.0,331.0,218,161,69,12.0,1.0
219.5,24.23919163,265.0,331.0,225,159,36,12.0,1.0
209.0,391.9482666,265.0,331.0,219,153,51,12.0,1.0
222.0,242.7100844,265.0,331.0,221,157,57,12.0,1.0
194.5,149.4587008,265.0,333.0,219,153,51,12.0,1.0
216.5,226.9116874,265.0,333.0,223,149,97,15.0,1.0
241.0,33.31370831,265.0,333.0,224,163,93,12.0,1.0
216.5,124.9734181,265.0,333.0,228,123,50,11.0,1.0
211.5,124.6018453,265.0,333.0,227,150,64,10.0,1.0
236.0,7.491168737,265.0,333.0,218,153,76,12.0,1.0
229.5,266.803692,265.0,333.0,226,162,112,13.0,1.0
235.0,348.2325364,265.0,333.0,225,153,50,10.0,1.0
215.5,279.636995,265.0,333.0,228,149,73,13.0,1.0
234.0,22.4,265.0,333.0,224,149,24,13.0,1.0
203.0,281.123288,265.0,333.0,220,152,70,14.0,1.0
200.5,295.3291748,265.0,333.0,225,166,109,12.0,1.0
253.5,3.414213538,265.0,333.0,218,157,106,12.0,1.0
237.0,4.0,265.0,333.0,223,165,115,12.0,1.0
218.5,313.2619743,265.0,333.0,233,137,73,11.0,1.0
213.0,0.0,265.0,333.0,219,166,57,11.0,1.0
217.5,7.725483322,265.0,333.0,219,161,69,12.0,1.0
321.5,33.35878744,265.0,333.0,225,159,116,13.0,1.0
213.0,231.0213534,265.0,333.0,223,163,120,13.0,1.0
230.5,298.2213532,265.0,333.0,221,162,116,13.0,1.0
217.0,272.929174,265.0,333.0,218,124,60,13.0,1.0
215.5,265.4782087,265.0,333.0,220,161,74,13.0,1.0
229.5,329.9025948,265.0,333.0,230,160,102,12.0,1.0
215.0,704.3720587,265.0,333.0,225,161,94,12.0,1.0
210.0,9.188224983,265.0,333.0,218,165,113,14.0,1.0
206.0,197.7644998,265.0,333.0,222,168,106,10.0,1.0
208.0,462.475176,265.0,333.0,218,154,60,11.0,1.0
199.5,241.752725,265.0,333.0,222,166,96,12.0,1.0
221.5,234.2213548,265.0,333.0,224,178,110,13.0,1.0
222.0,283.7742543,265.0,333.0,225,177,121,10.0,1.0
239.0,522.2853482,265.0,333.0,227,167,116,12.0,1.0
224.0,419.1172245,265.0,333.0,220,144,17,16.0,1.0
203.0,347.6467494,265.0,333.0,218,154,25,14.0,1.0
221.0,205.3076464,265.0,333.0,219,159,43,11.0,1.0
198.5,1.6,265.0,333.0,220,152,91,11.0,1.0
191.5,715.8993856,265.0,333.0,219,170,108,12.0,1.0
212.0,369.5115115,265.0,333.0,229,171,105,13.0,1.0
233.0,393.7084811,265.0,333.0,222,155,61,12.0,1.0
242.0,65.61807995,265.0,333.0,219,142,79,11.0,1.0
215.0,303.7472535,265.0,333.0,222,154,63,12.0,1.0
189.5,2.4,265.0,333.0,222,151,73,12.0,1.0
205.5,42.18376648,274.0,333.0,222,151,73,10.0,1.0
183.0,1.6,274.0,333.0,220,172,79,11.0,1.0
248.5,321.3507054,274.0,333.0,224,162,53,12.0,1.0
217.5,313.0428846,274.0,333.0,230,160,113,13.0,1.0
243.5,8.662741661,274.0,333.0,225,165,90,13.0,1.0
199.0,138.9380931,274.0,333.0,227,146,26,12.0,1.0
210.0,5.462741661,274.0,333.0,220,145,70,11.0,1.0
198.5,306.26441,274.0,333.0,219,137,71,11.0,1.0
213.5,306.5555816,274.0,333.0,219,163,43,13.0,1.0
207.5,21.77056246,274.0,333.0,221,151,72,13.0,1.0
237.5,409.7472548,274.0,333.0,218,154,13,11.0,1.0
205.0,349.0491868,274.0,333.0,222,155,96,14.0,1.0
213.5,184.0057123,274.0,333.0,224,154,11,13.0,1.0
223.5,25.64507914,274.0,333.0,225,167,93,12.0,1.0
204.5,784.1391709,274.0,333.0,218,159,39,13.0,1.0
210.5,901.2561517,274.0,333.0,221,164,112,12.0,1.0
210.0,294.6331292,274.0,333.0,221,170,112,12.0,1.0
197.0,376.139521,274.0,333.0,231,169,107,12.0,1.0
217.0,280.4134447,274.0,333.0,227,162,97,12.0,1.0
200.5,232.8355672,274.0,333.0,221,158,14,13.0,1.0
214.5,105.7332153,274.0,333.0,219,162,77,13.0,1.0
216.0,387.5462443,274.0,333.0,223,168,115,12.0,1.0
218.0,283.9683661,274.0,333.0,227,163,112,12.0,1.0
212.5,517.0250451,274.0,333.0,233,176,109,11.0,1.0
219.5,762.5876983,274.0,346.0,218,151,41,12.0,1.0
205.5,357.060963,274.0,346.0,225,178,125,11.0,1.0
228.0,646.2813079,274.0,346.0,224,144,36,11.0,1.0
223.5,325.1330401,274.0,346.0,222,163,112,11.0,1.0
214.0,219.4802284,274.0,346.0,218,170,109,13.0,1.0
217.0,51.75878744,274.0,346.0,224,110,66,12.0,1.0
242.0,308.9860283,274.0,346.0,229,167,106,12.0,1.0
244.5,374.1084797,274.0,346.0,222,136,75,12.0,1.0
256.5,2.8,274.0,346.0,221,155,32,12.0,1.0
199.0,473.3202558,274.0,346.0,221,159,51,13.0,1.0
206.0,365.40411,274.0,346.0,223,158,81,11.0,1.0
196.0,336.0904019,274.0,346.0,222,166,121,13.0,1.0
210.0,280.6213526,274.0,346.0,218,131,70,13.0,1.0
203.0,2.731370831,274.0,346.0,219,166,77,11.0,1.0
191.0,15.45096664,274.0,346.0,225,165,73,14.0,1.0
188.0,347.476186,274.0,346.0,225,171,123,11.0,1.0
218.0,356.3025936,274.0,346.0,230,127,78,13.0,1.0
198.0,8.73969686,274.0,346.0,222,201,154,13.0,1.0
209.0,362.6428831,274.0,346.0,226,152,31,13.0,1.0
195.0,310.0487716,274.0,346.0,219,159,108,12.0,1.0
223.0,229.6958699,274.0,346.0,224,124,60,12.0,1.0
226.0,372.4163022,274.0,346.0,219,158,64,12.0,1.0
220.0,293.2605455,274.0,346.0,233,149,27,11.0,1.0
